Company_name,website,location
Sensorfact,https://www.sensorfact.nl/,Utrecht Netherlands (HQ)
Recharge.com,https://company.recharge.com/,Amsterdam Netherlands (HQ)
Nixstats,http://nixstats.com/,Amsterdam Netherlands (HQ)
United Care,https://www.united-care.com/,Groningen Netherlands (HQ)
Axign,http://axign.nl/,"Enschede Netherlands (HQ), Enschede Netherlands"
CART-Tech,http://cart-tech.com/,"Utrecht Netherlands (HQ), Utrecht Netherlands"
Sympower,https://www.sympower.net/,"Amsterdam Netherlands (HQ), Turku Finland, Stockholm Sweden, Tartu Estonia, Tel Aviv-Yafo Israel, Amsterdam Netherlands"
NET2GRID,https://www.net2grid.com/,"Zeist Netherlands (HQ), Thessaloníki Greece, Germany"
Fixico,http://www.fixico.nl/,Amsterdam Netherlands (HQ)
Meatable,https://www.meatable.com/,Delft Netherlands (HQ)
Finch Buildings,http://finchbuildings.com/,Amsterdam Netherlands (HQ)
Dexter Energy Services,https://dexterenergy.ai/,Amsterdam Netherlands (HQ)
Deep Branch Biotechnology,https://deepbranchbio.com/,"Nottingham United Kingdom (HQ), Nottingham United Kingdom, Leiden Netherlands"
Burgs Foods,http://www.burgsfoods.nl/,"Rotterdam Netherlands (HQ), Rotterdam Netherlands"
Base Logistics,https://baselogistics.com/en/,Klundert Netherlands (HQ)
Bringly,https://www.bringly.nl/,Amsterdam Netherlands (HQ)
Nocto International B.V.,https://www.noctoapp.com/,Rotterdam Netherlands (HQ)
Technology To Serve,http://www.ttoserve.nl/,Zwolle Netherlands (HQ)
Roadmap,http://www.getroadmap.com/,Delft Netherlands (HQ)
Clairify,http://clairify.io/,Amsterdam Netherlands (HQ)
Dotcomsport,http://dotcomsport.nl/,"Zeewolde Netherlands (HQ), Netherlands"
FlexClub,https://flex.club/,"Randburg South Africa (HQ & founding location), Amsterdam Netherlands"
EFFECT Photonics,https://effectphotonics.com/,"Eindhoven Netherlands (HQ), Brixham United Kingdom"
Stripe,http://stripe.com/,"San Francisco United States (HQ & founding location), Amsterdam Netherlands, London United Kingdom, Singapore Singapore, Ciudad de México Mexico, Seattle United States, Chicago United States, São Paulo Brazil, Dublin Ireland, London United Kingdom, Singapore Singapore, New York United States, Paris France"
IEO Transformatoren,https://www.ieotrafo.com/,Breda Netherlands (HQ)
Max Property Group - Max Crowdfund,https://maxpropertygroup.com/,Rotterdam Netherlands (HQ)
Lightyear,https://www.lightyear.one/,Helmond Netherlands (HQ)
Remix,https://www.remix.com/,"San Francisco United States (HQ), Amsterdam Netherlands"
Try Catch (acquired by OfferZen),http://trycatch.tech/,Amsterdam Netherlands (HQ)
Fangage,http://www.fangage.com/,Amsterdam Netherlands (HQ)
The Selection Lab B.V.,http://theselectionlab.com/,"Amsterdam Netherlands (HQ), Amsterdam Netherlands"
Detail,https://www.detail.co/,Amsterdam Netherlands (HQ)
GNH,https://www.gevelelementennoordholland.nl/,Heerhugowaard Netherlands (HQ)
Invisible Foods,https://www.invisible-foods.eu/,"Berlin Germany (HQ), Den Haag Netherlands"
Macaw.nl,https://www.macaw.nl/,"Hoofddorp Netherlands (HQ), Netherlands"
Stream.io,http://getstream.io/,"Boulder United States (HQ), New York United States, Dordrecht Netherlands, Amsterdam Netherlands"
PayFix,https://payfix.nl/,Schiedam Netherlands (HQ)
Bluetick,https://bluetick.nl/,Amsterdam Netherlands (HQ)
Semiotic Labs,https://www.samotics.com/,Leiden Netherlands (HQ)
Bolt,https://bolt.eu/,"Tallinn Estonia (HQ), Tallinn Estonia, Tallinn Estonia, Ciudad de México Mexico, Lagos Nigeria, Saint Petersburg Russia, Amsterdam Netherlands, Accra Ghana, Tunis Tunisia, Nicosia Cyprus, Riyadh Saudi Arabia, Nur-Sultan Kazakhstan, Baku Azerbaijan, London United Kingdom, Haymarket Australia, Kyiv Oblast Ukraine, Dar es Salaam Tanzania, Nairobi Kenya, Warszawa Poland, Riga Latvia, Latvia"
Studio-397,http://studio-397.com/,Apeldoorn Netherlands (HQ)
MarketingXpress,https://www.marketingxpress.net/,Rotterdam Netherlands (HQ)
Payplaza,http://payplaza.com/,"Amsterdam Netherlands (HQ), Madrid Spain"
Rewire,https://www.rewire.com/,"Bnei Brak Israel (HQ), Amsterdam Netherlands, Tel Aviv-Yafo Israel (founding location)"
Crisp,https://www.crisp.nl/,"Amsterdam Netherlands (HQ), Amsterdam Netherlands"
Klarna,http://www.klarna.com/,"Stockholm Sweden (HQ), Sweden, Wien Austria, Munich Germany, Helsingfors Finland, Oslo Norway, Amsterdam Netherlands, London United Kingdom, Oslo Norway, Columbus United States, New York United States, Berlin Germany"
Delft Advanced Biorenewables,http://dab.bio/,Delft Netherlands (HQ)
ProctorExam,https://proctorexam.com/,Amsterdam Netherlands (HQ)
Fastned,https://fastnedcharging.com/,Amsterdam Netherlands (HQ)
Vitaminstore1,https://vitaminstore.nl/,Netherlands (HQ)
ELEO Technologies,https://eleo.tech/,Helmond Netherlands (HQ)
Bouwatch,http://bouwatch.nl/,Assen Netherlands (HQ)
Ellipsis Drive,https://ellipsis-drive.com/,"Ede Netherlands (HQ), Ede Netherlands"
Pronexus,https://www.pronexus.nl/,Eindhoven Netherlands (HQ)
SonicBee,https://www.sonicbee.nl/en/,Amsterdam Netherlands (HQ)
Founda,https://www.founda.com/,Amsterdam Netherlands (HQ)
Postoplan.App,http://postoplan.app/,"Tallinn Estonia (HQ), Russia, Spain, Mexico, Germany, Italy, France, Netherlands, Ukraine"
Profit4SF,https://www.profit4sf.nl/,Utrecht Netherlands (HQ)
Immune-IT,http://www.immune.it/,'s-Hertogenbosch Netherlands (HQ)
Videns IT services BV,http://videns-it.com/,Utrecht Netherlands (HQ)
RheoCube,https://www.rheocube.com/,Amsterdam Netherlands (HQ)
Veylinx,https://www.veylinx.com/,"New York United States (HQ), Amsterdam Netherlands, Marrakech Morocco"
Recruitee,https://recruitee.com/,Amsterdam Netherlands (HQ)
Protix Biosystems,http://www.protix.eu/,Dongen Netherlands (HQ)
Katanox,https://www.katanox.com/,Amsterdam Netherlands (HQ & founding location)
InteRNA Technologies,http://www.interna-technologies.com/,Utrecht Netherlands (HQ)
Felyx,https://felyx.com/,"Amsterdam Netherlands (HQ), Amsterdam Netherlands"
HUBX,https://hubx.capital/,"London United Kingdom (HQ), Amsterdam Netherlands"
Sustonable,https://www.sustonable.com/,"Paiporta Spain (HQ), Paiporta Spain, Woerden Netherlands, Polatlı Turkey"
E-magy,http://e-magy.com/,Broek op Langedijk Netherlands (HQ)
SpotX,https://www.spotx.tv/,"London United Kingdom (HQ), Amsterdam Netherlands"
Paper surprise BV,https://papersurprise.com/,Rotterdam Netherlands (HQ)
Gauris,https://www.gauris.eu/,Heerenveen Netherlands (HQ)
SignRequest,https://signrequest.com/,Amsterdam Netherlands (HQ)
Kamernet,http://kamernet.nl/,The Hague Netherlands (HQ)
HousingAnywhere,https://housinganywhere.com/,Rotterdam Netherlands (HQ)
Expereo,http://www.expereo.com/,Amsterdam Netherlands (HQ)
Databricks,http://databricks.com/,"San Francisco United States (HQ), Berkeley United States, Amsterdam Netherlands, London United Kingdom"
UiPath,http://uipath.com/,"Bucharest Romania (HQ & founding location), England United Kingdom, Amsterdam Netherlands, New York United States"
Eurekite,http://www.eurekite.com/,Enschede Netherlands (HQ)
Renoon,https://renoon.com/,Amsterdam Netherlands (HQ)
